test set,mean,min,max,std,conf
0,36.2319,0.0000,100,36.1014,25.82359159
1,94.3223,57.1185,100,12.5278,8.96122562
2,97.7579,89.8551,100,3.0520,2.8984248
3,99.9233,99.7442,100,0.1041,0.07446348
