test set,mean,min,max,std,conf
0,0.2558,0.0000,1.6198,0.5338,0.3818309869525207
1,95.1918,83.4612,100.0000,5.3876,3.853789106979019
2,97.3913,82.0972,100.0000,5.1580,3.689554572313791
3,98.8321,93.0094,100.0000,2.0599,1.473461315143307
